"id" "Name" "Lon" "Lat"
405 "brejosanto,ce" -38.985 -7.493
406 "inaja,pe" -37.827 -8.903
407 "antoniopradodeminas,mg" -42.109 -21.016
408 "pedradourada,mg" -42.154 -20.83
409 "colatina,es" -40.631 -19.539
410 "caceres,mt" -57.679 -16.071
411 "cacoal,ro" -61.448 -11.438
412 "ariquemes,ro" -63.041 -9.913
413 "ponteselacerda,mt" -59.335 -15.226
414 "comodoro,mt" -59.786 -13.663
415 "vilhena,ro" -60.146 -12.741
416 "pimentabueno,ro" -61.193 -11.673
417 "presidentemedici,ro" -61.901 -11.176
418 "ji-parana,ro" -61.944 -10.882
419 "ouropretodooeste,ro" -62.248 -10.716
420 "jaru,ro" -62.466 -10.439
421 "portovelho,ro" -63.904 -8.762
422 "apiai,sp" -48.843 -24.509
423 "adrianopolis,pr" -48.991 -24.657
424 "fernandopolis,sp" -50.246 -20.284
425 "guaranid'oeste,sp" -50.339 -20.075
426 "iturama,mg" -50.196 -19.728
427 "limeiradooeste,mg" -50.581 -19.551
428 "carneirinho,mg" -50.688 -19.698
429 "fortaleza,ce" -38.543 -3.717
430 "cicerodantas,ba" -38.383 -10.6
431 "portoalegre,rs" -51.23 -30.033
432 "pelotas,rs" -52.343 -31.772
433 "riogrande,rs" -52.099 -32.035
434 "paranagua,pr" -48.509 -25.52
435 "guaratuba,pr" -48.575 -25.883
436 "saoleopoldo,rs" -51.147 -29.76
437 "novohamburgo,rs" -51.131 -29.678
438 "garibaldi,rs" -51.534 -29.256
439 "bentogoncalves,rs" -51.519 -29.171
440 "farroupilha,rs" -51.348 -29.225
441 "otaciliocosta,sc" -50.122 -27.483
442 "camaqua,rs" -51.812 -30.851
443 "novaprata,rs" -51.61 -28.784
444 "bage,rs" -54.107 -31.331
445 "laguna,sc" -48.781 -28.483
446 "imbituba,sc" -48.67 -28.24
447 "itapema,sc" -48.611 -27.09
448 "cacapavadosul,rs" -53.491 -30.512
449 "cachoeiradosul,rs" -52.894 -30.039
450 "santacruzdosul,rs" -52.426 -29.718
451 "lajeado,rs" -51.961 -29.467
452 "estrela,rs" -51.966 -29.502
453 "teofilootoni,mg" -41.505 -17.858
454 "lorena,sp" -45.125 -22.731
455 "itajuba,mg" -45.453 -22.426
456 "brasopolis,mg" -45.608 -22.474
457 "paraisopolis,mg" -45.78 -22.554
458 "piranguinho,mg" -45.532 -22.401
459 "cachoeirademinas,mg" -45.779 -22.355
460 "castelo,es" -41.185 -20.604
461 "guacui,es" -41.679 -20.776
462 "atiliovivacqua,es" -41.198 -20.914
463 "boaesperanca,mg" -45.566 -21.09
464 "santanadavargem,mg" -45.507 -21.249
465 "trespontas,mg" -45.513 -21.367
466 "campodomeio,mg" -45.83 -21.107
467 "camposgerais,mg" -45.759 -21.235
468 "novaesperanca,pr" -52.205 -23.184
469 "alvaresmachado,sp" -51.472 -22.079
470 "presidentebernardes,sp" -51.553 -22.006
471 "mirantedoparanapanema,sp" -51.906 -22.292
472 "itaguaje,pr" -51.966 -22.618
473 "jardimolinda,pr" -52.061 -22.549
474 "paranapoema,pr" -52.098 -22.634
475 "inaja,pr" -52.198 -22.749
476 "paranacity,pr" -52.151 -22.93
477 "cruzeirodosul,pr" -52.161 -22.962
478 "santoanastacio,sp" -51.652 -21.977
479 "teodorosampaio,sp" -52.168 -22.533
480 "iguaracu,pr" -51.828 -23.197
481 "munhozdemelo,pr" -51.774 -23.148
482 "estreladonorte,sp" -51.66 -22.488
483 "pirapozinho,sp" -51.5 -22.275
484 "santafe,pr" -51.805 -23.038
485 "angulo,pr" -51.915 -23.195
486 "colorado,pr" -51.973 -22.838
487 "cafeara,pr" -51.716 -22.793
488 "narandiba,sp" -51.524 -22.407
489 "lupionopolis,pr" -51.657 -22.755
490 "santaines,pr" -51.903 -22.638
491 "loanda,pr" -53.137 -22.923
492 "diamantedonorte,pr" -52.86 -22.656
493 "itaunadosul,pr" -52.887 -22.731
494 "novalondrina,pr" -52.985 -22.766
495 "iepe,sp" -51.076 -22.661
496 "porecatu,pr" -51.379 -22.756
497 "florestopolis,pr" -51.387 -22.863
498 "miraselva,pr" -51.455 -22.966
499 "jaguapita,pr" -51.532 -23.113
500 "astorga,pr" -51.666 -23.233
501 "paranavai,pr" -52.465 -23.073
502 "altoparana,pr" -52.319 -23.129
503 "mandaguari,pr" -51.671 -23.548
504 "mandaguacu,pr" -52.095 -23.347
505 "marialva,pr" -51.792 -23.485
506 "santoinacio,pr" -51.794 -22.698
507 "santoantoniodocaiua,pr" -52.342 -22.735
508 "florida,pr" -51.954 -23.087
509 "lobato,pr" -51.951 -23.008
510 "bataguassu,ms" -52.422 -21.714
511 "juscimeira,mt" -54.884 -16.051
512 "ourinhos,sp" -49.871 -22.979
513 "assis,sp" -50.412 -22.662
514 "novaalvoradadosul,ms" -54.384 -21.466
515 "catanduva,sp" -48.973 -21.138
516 "americana,sp" -47.331 -22.739
517 "araraquara,sp" -48.176 -21.794
518 "jatai,go" -51.714 -17.881
519 "altogarcas,mt" -53.528 -16.944
